0.01000,471.17500
0.02000,1413.52400
0.03000,2180.15100
0.04000,2224.36600
0.05000,2190.48300
0.06000,2156.60000
0.07000,2124.31200
0.08000,2117.20300
0.09000,2118.78100
0.10000,2120.36000
0.11000,2121.93800
0.12000,2123.51700
0.13000,2125.09500
0.14000,2126.67400
0.15000,2128.25200
0.16000,2129.83000
0.17000,2131.40900
0.18000,2132.98700
0.19000,2134.56600
0.20000,2136.14400
0.21000,2137.72300
0.22000,2139.30100
0.23000,2140.88000
0.24000,2142.45800
0.25000,2144.03700
0.26000,2145.61500
0.27000,2147.19300
0.28000,2148.77200
0.29000,2150.35000
0.30000,2151.92900
0.31000,2153.50700
0.32000,2155.08600
0.33000,2156.66400
0.34000,2158.24300
0.35000,2159.82100
0.36500,2161.79400
0.38800,2164.75400
0.42100,2169.19300
0.47100,2175.80300
0.52100,2183.69500
0.57100,2191.58800
0.62100,2199.48000
0.67100,2207.37200
0.72100,2215.26400
0.77100,2223.15700
0.82100,2231.04900
0.87100,2238.94100
0.92100,2246.83300
0.97100,2254.72600
1.02100,2262.61800
1.06200,2273.78600
1.09800,2293.05200
1.13200,2310.88900
1.16500,2328.00400
1.20000,2345.45800
1.24000,2364.92500
1.29000,2388.28700
1.34000,2413.99600
1.39000,2430.73000
1.42600,2425.06200
1.45500,2419.86600
1.48100,2415.35200
1.50900,2410.96000
1.54000,2406.25200
1.58200,2400.34900
1.63200,2392.88800
1.68200,2384.78500
1.71000,2378.45800
1.73400,2374.17600
1.75900,2370.17000
1.78700,2365.92500
1.82600,2360.54000
1.87600,2353.35000
1.91500,2346.07200
1.94000,2340.82400
1.96400,2336.90800
1.98900,2332.95800
2.02300,2328.13400
2.07300,2321.31500
2.11000,2314.26800
2.13400,2309.33600
2.15700,2305.51300
2.18500,2301.41800
2.22500,2295.90000
2.27500,2284.76000
2.30000,2256.56600
2.32300,2234.87000
2.35100,2211.49300
2.39400,2179.48100
2.44200,2124.77000
2.46600,2057.58900
2.49200,2010.13800
2.53100,1947.75900
2.58100,1862.83300
2.60600,1813.51700
2.63300,1800.57600
2.67500,1783.47700
2.72400,1760.93000
2.75100,1742.11600
2.78800,1726.32100
2.83800,1704.64400
2.86600,1685.24500
2.89900,1670.00900
2.94900,1649.39400
2.98200,1628.98100
3.01500,1612.56100
3.06500,1591.77600
3.10100,1573.60800
3.14100,1561.24200
3.19100,1546.53100
3.22800,1532.38100
3.27800,1518.23100
3.32700,1502.01800
3.37700,1485.80600
3.42700,1469.50500
3.47700,1453.20400
3.52700,1436.90300
3.57700,1420.60200
3.62700,1407.14500
3.67700,1398.01000
3.72700,1388.92000
3.77700,1379.83000
3.82700,1370.74000
3.87700,1334.31100
3.92700,1229.69900
3.97700,962.39100
4.02700,679.35000
4.07700,542.05200
4.12700,423.48800
4.17700,373.46500
4.22700,342.12300
4.27700,310.78100
4.32700,279.43900
4.37700,242.62900
4.42700,174.04500
4.47700,100.33400
4.52700,38.12800
4.57700,25.31500
4.62700,18.14700
4.67700,10.98000
4.72700,3.81300
4.73000,0.07300
